thcic_id,Hospital_name,Hospital_city,County_name,County,q1,q2,q3,q4,End of List
000100,Austin State Hospital,Austin,Travis,453,32,49,56,40,End of List
000101,Big Spring State Hospital,Big Spring,Howard,227,33,35,27,23,End of List
000102,UT Medical Branch Hospital,Galveston,Galveston,167,"6,316","5,984","6,227","6,576",End of List
000104,Rio Grande State Center,Harlingen,Cameron,061,89,105,111,91,End of List
000105,UT MD Anderson Cancer Center,Houston,Harris,201,"6,870","7,090","7,027","6,956",End of List
000106,Kerrville State Hospital,Kerrville,Kerr,265,8,3,12,16,End of List
000107,Rusk State Hospital,Rusk,Cherokee,073,19,23,34,31,End of List
000108,Texas Center for Infectious Disease,San Antonio,Bexar,029,13,11,22,17,End of List
000110,San Antonio State Hospital,San Antonio,Bexar,029,63,69,89,110,End of List
000111,Terrell State Hospital,Terrell,Kaufman,257,345,343,344,304,End of List
000112,UT Health Center-Tyler,Tyler,Smith,423,475,426,356,405,End of List
000113,North Texas State Hospital-Vernon,Vernon,Wilbarger,487,60,82,69,90,End of List
000114,North Texas State Hospital,Wichita Falls,Wichita,485,107,121,151,172,End of List
000115,Harris County Psychiatric Center,Houston,Harris,201,619,"1,320",968,710,End of List
000117,Waco Center for Youth,Waco,McLennan,309,13,19,19,21,End of List
000118,El Paso Psychiatric Center,El Paso,El Paso,141,128,131,139,115,End of List
001000,Baptist St Anthonys Hospital,Amarillo,Potter,375,"5,405","5,378","5,440","5,240",End of List
002001,St Joseph Regional Health Center,Bryan,Brazos,041,"2,827","2,934","2,605","2,728",End of List
006000,Matagorda Regional Medical Center,Bay City,Matagorda,321,488,455,541,501,End of List
007000,Womans Hospital-Texas,Houston,Harris,201,"5,533","5,498","6,014","5,633",End of List
008001,Baylor Scott & White Medical Center Uptown,Dallas,Dallas,113,89,88,129,123,End of List
010000,WJ Mangold Memorial Hospital,Lockney,Floyd,153,29,19,20,16,End of List
014000,Columbus Community Hospital,Columbus,Colorado,089,274,316,245,272,End of List
016000,Anson General Hospital,Anson,Jones,253,20,,,,End of List
017000,Jackson County Hospital,Edna,Jackson,239,6,10,18,15,End of List
019000,Valley Regional Medical Center,Brownsville,Cameron,061,"2,941","2,951","2,959","2,986",End of List
020000,CHRISTUS Good Shepherd Medical Center-Marshall,Marshall,Harrison,203,332,218,304,354,End of List
023000,Yoakum Community Hospital,Yoakum,Lavaca,285,173,114,133,147,End of List
026000,Childress Regional Medical Center,Childress,Childress,075,184,150,168,163,End of List
029000,CHRISTUS Good Shepherd Medical Center-Longview,Longview,Gregg,183,"4,306","3,771","4,244","4,626",End of List
034000,Palo Pinto General Hospital,Mineral Wells,Palo Pinto,363,445,427,478,398,End of List
035000,St Davids Hospital,Austin,Travis,453,"4,740","5,134","5,339","5,489",End of List
038001,CHRISTUS Southeast Texas - Jasper Memorial,Jasper,Jasper,241,135,139,161,152,End of List
040000,Ascension Providence,Waco,McLennan,309,"3,528","3,429","3,504","3,490",End of List
041000,CHI St Joseph Health Madison Hospital,Madisonville,Madison,313,43,41,26,43,End of List
044000,Baylor Scott & White Medical Center Taylor,Taylor,Williamson,491,98,76,87,87,End of List
046000,Faith Community Hospital,Jacksboro,Jack,237,65,79,100,52,End of List
047000,Texas Health Huguley Hospital,Fort Worth,Tarrant,439,"3,126","2,917","3,065","3,711",End of List
049000,Coleman County Medical Center,Coleman,Coleman,083,86,86,73,96,End of List
052000,Limestone Medical Center,Groesbeck,Limestone,293,76,59,73,78,End of List
054000,Texas Scottish Rite Hospital for Children,Dallas,Dallas,113,122,148,132,112,End of List
059000,Glen Rose Medical Center,Glen Rose,Somervell,425,70,78,72,76,End of List
061000,Huntsville Memorial Hospital,Huntsville,Walker,471,887,807,797,749,End of List
062000,Winkler County Memorial Hospital,Kermit,Winkler,495,24,11,17,26,End of List
063000,Uvalde Memorial Hospital,Uvalde,Uvalde,463,491,439,432,509,End of List
064000,Citizens Medical Center,Victoria,Victoria,469,"1,954","1,873","2,090","2,028",End of List
066000,Baylor Scott & White Hospital-Brenham,Brenham,Washington,477,405,372,392,411,End of List
070000,Goodall - Witcher Hospital,Clifton,Bosque,035,104,85,104,119,End of List
072000,CHI St Lukes Health Memorial San Augustine,San Augustine,San August,405,13,,,,End of List
074000,Cuero Regional Hospital,Cuero,De Witt,123,151,163,142,164,End of List
075000,Mitchell County Hospital,Colorado City,Mitchell,335,34,23,16,27,End of List
076000,HCA Houston Healthcare Tomball,Tomball,Harris,201,"2,536","2,402","2,448","2,500",End of List
078000,Brownfield Regional Medical Center,Brownfield,Terry,445,140,144,147,142,End of List
081001,Mission Trail Baptist Hospital,San Antonio,Bexar,029,"1,746","2,009","2,078","2,134",End of List
084000,Wilbarger General Hospital,Vernon,Wilbarger,487,164,165,172,164,End of List
085000,Hunt Regional Medical Center Greenville,Greenville,Hunt,231,"2,025","1,931","1,976","2,262",End of List
089001,Liberty Dayton Regional Medical Center,Liberty,Liberty,291,27,21,38,36,End of List
094000,Graham Hospital District,Graham,Young,503,29,17,25,25,End of List
095003,Paris Regional Medical Center North Campus,Paris,Lamar,277,"1,289","1,879","2,007","1,638",End of List
