"DATE","DISEASE_CAT","COUNT_TYPE","PAT_COUNTY","PAT_COUNTY_FIPS","PAT_STATE","PATIENT_COUNT"
2018-07-04,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2
2018-07-05,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2
2018-07-06,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2
2018-07-07,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3
2018-07-08,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3
2018-07-09,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3
2018-07-10,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",4
2018-07-11,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3
2018-07-12,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3
2018-07-13,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3
2018-07-14,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3
2018-07-15,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2
2018-07-16,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2
2018-07-17,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-07-18,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-07-19,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-07-20,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-07-21,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-07-22,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-07-23,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-09-14,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-09-15,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-09-16,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-09-17,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2
2018-09-18,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-09-19,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-09-20,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3
2018-09-21,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",5
2018-09-22,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",5
2018-09-23,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",6
2018-09-24,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",4
2018-09-25,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",5
2018-09-26,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",5
2018-09-27,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-09-27,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",4
2018-09-28,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-09-28,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3
2018-09-29,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",4
2018-09-30,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2
2018-10-01,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-10-01,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",4
2018-10-02,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-10-02,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3
2018-10-03,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2
2018-10-03,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",3
2018-10-04,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2
2018-10-04,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2
2018-10-05,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2
2018-10-05,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2
2018-10-06,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-10-06,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2
2018-10-07,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-10-07,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2
2018-10-08,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-10-08,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2
2018-10-09,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-10-09,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2
2018-10-10,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-10-10,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-10-11,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-10-11,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-10-12,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-11-22,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",1
2018-11-23,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2
2018-11-24,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2
2018-11-25,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2
2018-11-26,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",3
2018-11-27,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",3
2018-11-28,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",3
2018-11-29,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",3
2018-11-30,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2
2018-12-01,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",3
2018-12-02,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",3
2018-12-03,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",5
2018-12-04,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",5
2018-12-05,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",6
2018-12-06,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",5
2018-12-07,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",3
2018-12-08,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",3
2018-12-09,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2
2018-12-09,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
2018-12-10,"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",3
2018-12-10,"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",1
