"DISEASE_CAT","COUNT_TYPE","COUNTY","COUNTY_FIPS","STATE","WEEK","PATIENT_COUNT"
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-09-30,1
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-10-07,2
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-11-25,2
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-12-02,2
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-12-09,3
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-12-16,3
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-12-23,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-07-08,3
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-07-15,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-09-16,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-09-23,6
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-09-30,2
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-10-07,2
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-12-09,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-12-16,4
