"DISEASE_CAT","COUNT_TYPE","COUNTY","COUNTY_FIPS","STATE","WEEK","PATIENT_COUNT"
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-09-23,1
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-09-30,2
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-11-18,2
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-11-25,2
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-12-02,3
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-12-09,3
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-12-16,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-07-01,3
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-07-08,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-09-09,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-09-16,5
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-09-23,3
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-09-30,2
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-12-09,5
