"DISEASE_CAT","COUNT_TYPE","COUNTY","COUNTY_FIPS","STATE","DATE","PATIENT_COUNT"
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-09-27,1
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-10-01,1
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-10-03,1
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-11-22,1
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-11-23,1
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-11-26,1
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-12-01,1
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-12-03,2
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-12-05,1
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-12-10,1
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-12-12,2
"FLU-ILI-RSV","HOSP_ADMIT","DALLAS","48113","TX",2018-12-17,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-07-04,2
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-07-07,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-07-10,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-09-14,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-09-17,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-09-20,2
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-09-21,2
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-09-23,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-09-25,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-09-29,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-10-01,2
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-12-09,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-12-11,1
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-12-12,2
"FLU-ILI-RSV","HOSP_ADMIT","HARRIS","48201","TX",2018-12-13,1
