"DISEASE_CAT","COUNT_TYPE","COUNTY","COUNTY_FIPS","STATE","DATE","PATIENT_COUNT"
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-09-27,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-09-28,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-10-01,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-10-02,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-10-03,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-10-04,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-10-05,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-10-06,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-10-07,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-10-08,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-10-09,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-10-10,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-10-11,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-11-22,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-11-23,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-11-24,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-11-25,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-11-26,3
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-11-27,3
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-11-28,3
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-11-29,3
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-11-30,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-01,3
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-02,3
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-03,5
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-04,5
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-05,6
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-06,5
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-07,3
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-08,3
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-09,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-10,3
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-11,3
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-12,5
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-13,5
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-14,5
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-15,5
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-16,4
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-17,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-18,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-19,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-20,2
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-21,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-22,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-23,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-24,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-25,1
"FLU-ILI-RSV","HOSP_CENSUS","DALLAS","48113","TX",2018-12-26,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-04,2
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-05,2
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-06,2
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-07,3
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-08,3
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-09,3
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-10,4
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-11,3
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-12,3
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-13,3
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-14,3
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-15,2
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-16,2
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-17,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-18,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-19,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-20,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-21,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-22,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-07-23,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-14,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-15,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-16,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-17,2
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-18,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-19,1
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-20,3
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-21,5
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-22,5
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-23,6
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-24,4
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-25,5
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-26,5
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-27,4
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-28,3
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-29,4
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-09-30,2
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-10-01,4
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-10-02,3
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-10-03,3
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-10-04,2
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-10-05,2
"FLU-ILI-RSV","HOSP_CENSUS","HARRIS","48201","TX",2018-10-06,2
